recording,injury_label,injury_start_s,injury_end_s,n_baseline_regions,n_during_regions,n_post_regions,rate_hz,burst_count,sttc_mean_unit,sttc_degree,sttc_rate_resid_unit,sttc_mean_window,sttc_rate_resid_window,rate_hz_delta,burst_count_delta,sttc_mean_unit_delta,sttc_degree_delta,burst_rate_ratio_post0,burst_rate_ratio_post_mid,burst_rate_ratio_post_last,rate_ratio_post0,rate_ratio_post_mid,rate_ratio_post_last,tau_rec_burst_s,tau_rec_rate_s
SMJM_Bicuculline,Bicuculline,3480.0,3540.0,8,1,5,0.3682253682253683,35.5,0.30304310373269305,8.5,0.2916716663140383,0.3149648401651114,0.005063395731710463,1.53636970303637,27.95,0.3375715617346987,12.56,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,,
ER52_ImpactWithBicuculline,Impact Injury,12180.0,12600.0,29,0,21,0.00476667143333831,21.0,0.019643957464759332,-2.0,0.02019781619575367,0.021575322887282367,0.026569634937034355,-0.006113774229705181,13.507246376811594,0.022074875990215695,-4.449275362318841,0.8596391241604345,1.1261394118063357,1.127024915570288,0.8081804024624697,1.012722067776219,0.988252541608223,420.0,420.0
JMSM_ImpactWithoutBicuculline,Impact,10260.0,10860.0,24,0,42,-0.5195671862338476,-23.0,-0.05380527828528321,-4.0,-0.022215414551543872,-0.0517408637822627,-0.006739403247864789,-0.665386640996394,-35.792682926829265,-0.06339377740392602,-3.5609756097560976,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,,
SM_pHshock,CO_2 Shutoff,2400.0,2400.0060000000003,5,1,169,-0.3384336717670075,-12.0,0.07611208161326728,-1.0,0.08529616680321146,0.0627315697815092,0.12526293276505548,-0.4167332598705163,-22.0,0.07173922310539872,-1.088235294117647,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,119.99399999999969,38759.994
