recording,unit_id,unit_index,region_index,window_start_s,window_end_s,window_dur_s,window_source,n_spikes,rate_hz,isi_mean_s,isi_median_s,cv_isi,burst_count,burst_spike_frac,mean_ibi_s,is_active,is_silent,sttc_mean_window,sttc_mean_unit,sttc_degree,n_active_units_window,sttc_dt_s,sttc_degree_thresh
ER52_ImpactWithBicuculline,s7a,0,0,0.0,419.58000000000004,419.58000000000004,region,308.0,0.7340674007340673,1.3539052117263843,0.11115000000000919,1.171707237722144,37.0,0.42207792207792205,10.54823263888889,1.0,0.0,0.7335196513953771,0.6934601536901664,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s9a,1,0,0.0,419.58000000000004,419.58000000000004,region,1722.0,4.1041041041041035,0.24272871876815805,0.009575000000012324,2.850796102096797,180.0,0.997096399535424,2.224304748603352,1.0,0.0,0.7335196513953771,0.8349665686052996,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s9b,2,0,0.0,419.58000000000004,419.58000000000004,region,1459.0,3.4772868106201438,0.28654070644718793,0.012275000000002478,2.598828509713242,180.0,0.9972583961617546,2.2289128491620094,1.0,0.0,0.7335196513953771,0.8280571367764941,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s9c,3,0,0.0,419.58000000000004,419.58000000000004,region,211.0,0.5028838362171695,1.9886834523809522,1.8705874999999992,1.089215234740091,21.0,0.3127962085308057,19.583506250000003,1.0,0.0,0.7335196513953771,0.6084328678779516,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s9d,4,0,0.0,419.58000000000004,419.58000000000004,region,474.0,1.1297011297011297,0.8788169133192388,0.04302500000000009,1.4608379289185578,88.0,0.7383966244725738,4.561275287356322,1.0,0.0,0.7335196513953771,0.6916592775216887,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s10a,5,0,0.0,419.58000000000004,419.58000000000004,region,2358.0,5.619905619905619,0.17724604369961813,0.006300000000003081,3.369711917382276,182.0,1.0,2.1857011049723756,1.0,0.0,0.7335196513953771,0.7940835965181089,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s11a,6,0,0.0,419.58000000000004,419.58000000000004,region,179.0,0.4266170932837599,2.320029353932584,2.1276000000000153,1.0724438132555982,13.0,0.21787709497206703,29.912770833333337,1.0,0.0,0.7335196513953771,0.6206527442580038,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s11b,7,0,0.0,419.58000000000004,419.58000000000004,region,2189.0,5.21712188378855,0.1909364945155393,0.006637500000010732,3.2630066926179415,182.0,1.0,2.2038319060773457,1.0,0.0,0.7335196513953771,0.8580764695478145,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s11c,8,0,0.0,419.58000000000004,419.58000000000004,region,6.0,0.014300014300014298,65.32627000000001,40.72252500000002,0.7152931762679766,0.0,0.0,,1.0,0.0,0.7335196513953771,0.4164959094341752,58.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s12a,9,0,0.0,419.58000000000004,419.58000000000004,region,4173.0,9.945659945659944,0.10012963207094917,0.003550000000004161,4.590009225408519,182.0,1.0,2.196163812154697,1.0,0.0,0.7335196513953771,0.8192726512344463,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s12b,10,0,0.0,419.58000000000004,419.58000000000004,region,1753.0,4.177987511320844,0.23842741152968036,0.007900000000002905,2.8925454015205827,182.0,1.0,2.2095653314917136,1.0,0.0,0.7335196513953771,0.8527291148036391,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s12c,11,0,0.0,419.58000000000004,419.58000000000004,region,42.0,0.10010010010010009,9.625843292682926,6.7532250000000005,0.8668627071687977,0.0,0.0,,1.0,0.0,0.7335196513953771,0.48076102067582926,63.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s13a,12,0,0.0,419.58000000000004,419.58000000000004,region,344.0,0.8198674865341531,1.2105231778425656,0.043450000000007094,1.2933768979695244,57.0,0.5755813953488372,6.908041964285713,1.0,0.0,0.7335196513953771,0.7218650737081381,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s13b,13,0,0.0,419.58000000000004,419.58000000000004,region,6225.0,14.836264836264835,0.06712460234575836,0.0038250000000061846,5.584079261813965,182.0,1.0,2.1703069060773474,1.0,0.0,0.7335196513953771,0.8317254564454577,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s14a,14,0,0.0,419.58000000000004,419.58000000000004,region,823.0,1.9614852948186279,0.5082357664233575,0.011112499999999526,1.8696051440153418,142.0,0.8590522478736331,2.8936925531914888,1.0,0.0,0.7335196513953771,0.808812593121432,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s15a,15,0,0.0,419.58000000000004,419.58000000000004,region,11.0,0.02621669288335955,29.699577499999997,29.075924999999984,0.5274341421301285,0.0,0.0,,1.0,0.0,0.7335196513953771,0.4266199140648479,61.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s15b,16,0,0.0,419.58000000000004,419.58000000000004,region,1805.0,4.301920968587635,0.23155608370288247,0.008249999999989654,2.9227174850566073,182.0,0.9988919667590028,2.197715331491713,1.0,0.0,0.7335196513953771,0.8563162994814483,65.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s15c,17,0,0.0,419.58000000000004,419.58000000000004,region,0.0,0.0,,,,0.0,,,0.0,1.0,0.7335196513953771,,0.0,66.0,0.05,0.1
ER52_ImpactWithBicuculline,s16a,18,0,0.0,419.58000000000004,419.58000000000004,region,2336.0,5.567472234138901,0.17892047109207707,0.0085250000000201,3.349409666702539,182.0,1.0,2.1836749999999987,1.0,0.0,0.7335196513953771,0.8154493918722105,65.0,66.0,0.05,0.1
