recording,unit_id,unit_index,region_index,window_start_s,window_end_s,window_dur_s,window_source,n_spikes,rate_hz,isi_mean_s,isi_median_s,cv_isi,burst_count,burst_spike_frac,mean_ibi_s,is_active,is_silent,sttc_mean_window,sttc_mean_unit,sttc_degree,n_active_units_window,sttc_dt_s,sttc_degree_thresh,sttc_rate_resid_unit,sttc_rate_resid_window,sttc_degree_delta,sttc_mean_unit_delta,rate_hz_delta,burst_count_delta,tau_rec_burst_s,tau_rec_rate_s,burst_rate_ratio_post0,burst_rate_ratio_post_mid,burst_rate_ratio_post_last,rate_ratio_post0,rate_ratio_post_mid,rate_ratio_post_last,baseline_burst_rate_mean,baseline_rate_mean,injury_label,injury_start_s,injury_end_s,n_baseline_regions,n_post_regions
SM_pHshock,s6a,0,0,0.0,419.58000000000004,419.58000000000004,region,564.0,1.344201344201344,0.7223207371225576,0.26167499999999677,1.784895169261349,49.0,0.29609929078014185,8.032639583333332,1.0,0.0,0.2158359641606255,0.2396661297441188,32.0,34.0,0.05,0.1,-0.029949477646323025,-0.12930121230786024,-2.0,0.07090062140008399,-0.10725010725011153,-9.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
SM_pHshock,s6b,1,0,0.0,419.58000000000004,419.58000000000004,region,915.0,2.1807521807521804,0.45036725929978116,0.13271249999999668,1.907214554717775,91.0,0.40765027322404374,4.1488130555555545,1.0,0.0,0.2158359641606255,0.24724178492304552,32.0,34.0,0.05,0.1,-0.06173755360447972,-0.12930121230786024,-1.0,0.04676143538789432,-1.096334429667761,-58.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
SM_pHshock,s6c,2,0,0.0,419.58000000000004,419.58000000000004,region,1556.0,3.7084703751370416,0.2652015916398714,0.035075000000006185,2.3741519400636157,243.0,0.7448586118251928,1.5867958677685947,1.0,0.0,0.2158359641606255,0.3648707416006516,33.0,34.0,0.05,0.1,-0.015995068889467556,-0.12930121230786024,-2.0,0.028415064549414615,-1.1916678583345335,-106.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
SM_pHshock,s6d,3,0,0.0,419.58000000000004,419.58000000000004,region,624.0,1.4872014872014871,0.6668567014446228,0.2048249999999996,1.9096819213019463,64.0,0.3894230769230769,6.236367063492064,1.0,0.0,0.2158359641606255,0.27789937853914237,32.0,34.0,0.05,0.1,0.0015549282192846015,-0.12930121230786024,0.0,0.09212139214950471,-0.026216692883352932,-57.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
SM_pHshock,s7a,4,0,0.0,419.58000000000004,419.58000000000004,region,316.0,0.7531340864674197,1.2453255555555556,0.3180749999999932,2.019971246408654,20.0,0.2468354430379747,16.507144736842104,1.0,0.0,0.2158359641606255,0.2141470068098216,32.0,34.0,0.05,0.1,-0.027656049805700883,-0.12930121230786024,4.0,0.16604185773700408,0.5624672291338907,38.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
SM_pHshock,s7b,5,0,0.0,419.58000000000004,419.58000000000004,region,213.0,0.5076505076505076,1.9474825471698114,0.7376875000000069,2.167885303211298,4.0,0.06572769953051644,82.42841666666665,1.0,0.0,0.2158359641606255,0.18010095958479372,28.0,34.0,0.05,0.1,-0.05015091666856469,-0.12930121230786024,3.0,0.16679253641254663,0.19781686448352853,6.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
SM_pHshock,s8a,6,0,0.0,419.58000000000004,419.58000000000004,region,520.0,1.239334572667906,0.7885153660886319,0.2711500000000342,1.9176851214365753,42.0,0.2923076923076923,9.012286585365857,1.0,0.0,0.2158359641606255,0.2764822508941324,33.0,34.0,0.05,0.1,0.011801128318595644,-0.12930121230786024,-2.0,0.12043309162618704,0.30030030030029464,28.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
SM_pHshock,s8b,7,0,0.0,419.58000000000004,419.58000000000004,region,369.0,0.8794508794508794,1.121364945652174,0.48007499999999936,1.904523838889891,21.0,0.1897018970189702,17.378908750000004,1.0,0.0,0.2158359641606255,0.26795414365599374,32.0,34.0,0.05,0.1,0.020207275786153805,-0.12930121230786024,-2.0,0.11778108781594548,0.035750035750032105,10.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
SM_pHshock,s8c,8,0,0.0,419.58000000000004,419.58000000000004,region,618.0,1.4729014729014727,0.669159319286872,0.17685000000000173,1.8624879330450443,62.0,0.39158576051779936,5.943283606557376,1.0,0.0,0.2158359641606255,0.2764980080283272,33.0,34.0,0.05,0.1,0.0008264420014110208,-0.12930121230786024,-2.0,0.14350628089837042,-0.42661709328375963,-15.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
SM_pHshock,s8d,9,0,0.0,419.58000000000004,419.58000000000004,region,452.0,1.0772677439344105,0.915179379157428,0.4969499999999982,1.7186370183886583,35.0,0.26991150442477874,11.864755147058823,1.0,0.0,0.2158359641606255,0.27026189283004187,33.0,34.0,0.05,0.1,0.01320679224117649,-0.12930121230786024,-2.0,0.13984513549066863,-0.33366700033367025,-8.0,119.99399999999969,38759.994,0.9719934102141682,0.8852601996317434,0.15568369028006523,0.9360823107618856,0.8634525770562237,0.21369614432571857,0.14466847800181135,1.591521493482278,CO_2 Shutoff,2400.0,2400.0060000000003,5,169
