recording,unit_id,unit_index,region_index,window_start_s,window_end_s,window_dur_s,window_source,n_spikes,rate_hz,isi_mean_s,isi_median_s,cv_isi,burst_count,burst_spike_frac,mean_ibi_s,is_active,is_silent,sttc_mean_window,sttc_mean_unit,sttc_degree,n_active_units_window,sttc_dt_s,sttc_degree_thresh,sttc_rate_resid_unit,sttc_rate_resid_window,sttc_degree_delta,sttc_mean_unit_delta,rate_hz_delta,burst_count_delta,tau_rec_burst_s,tau_rec_rate_s,burst_rate_ratio_post0,burst_rate_ratio_post_mid,burst_rate_ratio_post_last,rate_ratio_post0,rate_ratio_post_mid,rate_ratio_post_last,baseline_burst_rate_mean,baseline_rate_mean,injury_label,injury_start_s,injury_end_s,n_baseline_regions,n_post_regions
SMJM_Bicuculline,s2a,0,0,0.0,419.58000000000004,419.58000000000004,region,20.0,0.047666714333380995,20.148765789473686,18.386300000000006,0.9630775177624542,1.0,0.15,,1.0,0.0,0.3536176537900559,0.37968758571866196,40.0,49.0,0.05,0.1,-0.04963274679205798,-0.022531716579823002,8.5,0.31637497899134637,0.8842175508842177,57.5,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s3a,1,0,0.0,419.58000000000004,419.58000000000004,region,585.0,1.394251394251394,0.7152888270547945,0.055324999999999847,1.7140118154856305,90.0,0.6017094017094017,4.5048491573033695,1.0,0.0,0.3536176537900559,0.126553195073276,13.0,49.0,0.05,0.1,-0.3501599493097521,-0.022531716579823002,36.0,0.5904234417671285,-0.12750846084179446,-11.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s5a,2,0,0.0,419.58000000000004,419.58000000000004,region,78.0,0.1859001859001859,5.328073376623377,3.8648749999999836,1.1912809461837004,6.0,0.23076923076923078,68.20478,1.0,0.0,0.3536176537900559,0.24471263784640582,37.0,49.0,0.05,0.1,-0.1894727974759847,-0.022531716579823002,9.5,0.20074574417308222,-0.15610848944182276,-6.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s5b,3,0,0.0,419.58000000000004,419.58000000000004,region,279.0,0.6649506649506649,1.4882263489208634,0.03171249999999759,2.142823038263419,49.0,0.8566308243727598,8.431151041666665,1.0,0.0,0.3536176537900559,0.3664543643578056,39.0,49.0,0.05,0.1,-0.08459116863951222,-0.022531716579823002,9.5,0.3492609898983259,-0.32651699318365995,-38.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s5c,4,0,0.0,419.58000000000004,419.58000000000004,region,222.0,0.5291005291005291,1.8571173076923078,0.025774999999953252,2.4578729505432784,28.0,0.9009009009009009,15.041499074074078,1.0,0.0,0.3536176537900559,0.40128975354094076,41.0,49.0,0.05,0.1,-0.04497455772766634,-0.022531716579823002,8.0,0.29470556520613733,-0.036941703608370235,1.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s6a,5,0,0.0,419.58000000000004,419.58000000000004,region,425.0,1.0129176795843462,0.975715978773585,0.023662500000014575,2.546775125172628,62.0,0.9294117647058824,6.587810655737702,1.0,0.0,0.3536176537900559,0.36857879964693957,39.0,49.0,0.05,0.1,-0.09471337146251452,-0.022531716579823002,9.0,0.32379400504965145,-0.6578006578006579,-52.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s6b,6,0,0.0,419.58000000000004,419.58000000000004,region,1214.0,2.8933695600362266,0.34219917559769164,0.015600000000006276,3.0768279053821095,61.0,0.8879736408566722,6.5417391666666695,1.0,0.0,0.3536176537900559,0.5201253611823712,48.0,49.0,0.05,0.1,-0.00934898438239462,-0.022531716579823002,1.5,0.1584845177535762,8.483483483483486,33.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s6c,7,0,0.0,419.58000000000004,419.58000000000004,region,263.0,0.6268172934839601,1.5668266221374045,0.033149999999999125,2.285778227709271,29.0,0.7870722433460076,14.471336607142858,1.0,0.0,0.3536176537900559,0.46565986312258545,40.0,49.0,0.05,0.1,0.015956427452625044,-0.022531716579823002,7.0,0.2785607342621982,-0.1287001287001287,8.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s6d,8,0,0.0,419.58000000000004,419.58000000000004,region,0.0,0.0,,,,0.0,,,0.0,1.0,0.3536176537900559,,0.0,49.0,0.05,0.1,,-0.022531716579823002,28.5,0.2883797501898259,0.308641975308642,25.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s7a,9,0,0.0,419.58000000000004,419.58000000000004,region,677.0,1.6135182801849466,0.6073191937869823,0.01295000000000357,3.486684225951972,42.0,0.946824224519941,9.767148780487807,1.0,0.0,0.3536176537900559,0.5079438954978993,41.0,49.0,0.05,0.1,0.023513691482566212,-0.022531716579823002,7.5,0.27073238590557047,0.5898755898755899,51.5,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
