recording,unit_id,unit_index,region_index,window_start_s,window_end_s,window_dur_s,window_source,n_spikes,rate_hz,isi_mean_s,isi_median_s,cv_isi
SMJM_Bicuculline,s2a,0,0,0.0,419.58000000000004,419.58000000000004,region,20.0,0.047666714333380995,20.148765789473686,18.386300000000006,0.9630775177624542
SMJM_Bicuculline,s3a,1,0,0.0,419.58000000000004,419.58000000000004,region,585.0,1.394251394251394,0.7152888270547945,0.055324999999999847,1.7140118154856305
SMJM_Bicuculline,s5a,2,0,0.0,419.58000000000004,419.58000000000004,region,78.0,0.1859001859001859,5.328073376623377,3.8648749999999836,1.1912809461837004
SMJM_Bicuculline,s5b,3,0,0.0,419.58000000000004,419.58000000000004,region,279.0,0.6649506649506649,1.4882263489208634,0.03171249999999759,2.142823038263419
SMJM_Bicuculline,s5c,4,0,0.0,419.58000000000004,419.58000000000004,region,222.0,0.5291005291005291,1.8571173076923078,0.025774999999953252,2.4578729505432784
SMJM_Bicuculline,s6a,5,0,0.0,419.58000000000004,419.58000000000004,region,425.0,1.0129176795843462,0.975715978773585,0.023662500000014575,2.546775125172628
SMJM_Bicuculline,s6b,6,0,0.0,419.58000000000004,419.58000000000004,region,1214.0,2.8933695600362266,0.34219917559769164,0.015600000000006276,3.0768279053821095
SMJM_Bicuculline,s6c,7,0,0.0,419.58000000000004,419.58000000000004,region,263.0,0.6268172934839601,1.5668266221374045,0.033149999999999125,2.285778227709271
SMJM_Bicuculline,s6d,8,0,0.0,419.58000000000004,419.58000000000004,region,0.0,0.0,,,
SMJM_Bicuculline,s7a,9,0,0.0,419.58000000000004,419.58000000000004,region,677.0,1.6135182801849466,0.6073191937869823,0.01295000000000357,3.486684225951972
SMJM_Bicuculline,s7b,10,0,0.0,419.58000000000004,419.58000000000004,region,294.0,0.7007007007007007,1.4007995733788396,0.027825000000007094,2.723590578027299
SMJM_Bicuculline,s8a,11,0,0.0,419.58000000000004,419.58000000000004,region,397.0,0.9461842795176127,1.0367021464646464,0.023575000000008117,3.2319440721652226
SMJM_Bicuculline,s9a,12,0,0.0,419.58000000000004,419.58000000000004,region,558.0,1.3299013299013298,0.7476466786355477,0.020075000000005616,2.311751509202392
SMJM_Bicuculline,s10a,13,0,0.0,419.58000000000004,419.58000000000004,region,42.0,0.10010010010010009,9.966510975609756,0.09189999999999543,1.5471567257550354
SMJM_Bicuculline,s11a,14,0,0.0,419.58000000000004,419.58000000000004,region,438.0,1.0439010439010439,0.9392583524027461,0.01815000000000566,3.16549089201784
SMJM_Bicuculline,s12a,15,0,0.0,419.58000000000004,419.58000000000004,region,535.0,1.2750846084179417,0.7841293071161048,0.47061250000000143,1.115564348406203
SMJM_Bicuculline,s13a,16,0,0.0,419.58000000000004,419.58000000000004,region,620.0,1.4776681443348108,0.6749224555735056,0.062274999999999636,1.6180197142006034
SMJM_Bicuculline,s14a,17,0,0.0,419.58000000000004,419.58000000000004,region,168.0,0.40040040040040037,2.418448353293413,0.013125000000002274,3.95305053959353
